index,h1,h2,h3,h4,h5,h6,title1,title2,type,dimension,备注,from,url,content_category,answer,passage_genetate_title,catalogue,count
0,第五章  队列研究,第五节  优点与局限性,一、优点,,,,队列研究的优点与局限性,队列研究的优点,"SP
","PO
",8,quark.book,,,,,,
1,第十章  神经系统疾病病人的护理,第八节  发作性疾病,一、癫痫,【临床表现】,（二）癫痫综合征,,癫痫的临床表现,癫痫综合征的临床表现,"SP
",S,8,quark.book,,,,,,
2,附录,附录2  中华口腔医学会新近通过的定义与指南,附录2.3  口腔白斑病的定义与分级标准（暂行标准）,二、口腔白斑病的OLEP分级体系,（二）应用注意事项,,口腔白斑病的OLEP分级体系,口腔白斑病的OLEP分级体系的应用注意事项,S,S,8,quark.book,,,,,,
3,第十六章  心肺脑复苏,第三节  高级心血管生命支持,一、人工气道与机械通气,（二）机械通气,,,高级心血管生命支持：人工气道与机械通气,高级心血管生命支持：机械通气,"SPO
","PO
",8,quark.book,,,,,,
4,第十二章  泌尿系统疾病,第五节  泌尿道感染,【附】膀胱输尿管反流和反流性肾病,【治疗】,,,膀胱输尿管反流和反流性肾病的概述,膀胱输尿管反流和反流性肾病的治疗,SP,"PO
",8,quark.book,,,,,,
5,第十章  实习教程,实习十八  可摘局部义齿的制作（四）关系记录与模型上架,,,,,实习教程,实习教程：可摘局部义齿的制作（四）关系记录与模型上架,S,S,8,quark.book,,,,,,
6,第十二章排 泄,第二节 排便护理,四、与排便有关的护理技术,,,,排便护理,与排便有关的护理技术,S,S,8,quark.book,,,,,,
7,神经系统,第十九章  神经系统的传导通路,第三节  神经系统传导通路的相关递质,四、肽能通路,,,神经系统传导通路的相关递质,神经系统传导通路的相关递质之肽能通路,S,S,8,quark.book,,,,,,
8,第四篇  咽科学,第一章  咽的应用解剖学及生理学,第一节  咽的应用解剖学,二、咽壁的构造,（二）筋膜间隙,,咽的应用解剖学：咽壁的构造,咽壁的构造：筋膜间隙,"SPO
","PO
",8,quark.book,,,,,,
9,第一篇  影像诊断学,第二章  中枢神经系统,第四节  疾病诊断,一、颅脑疾病,（一）脑肿瘤,,颅脑疾病的疾病诊断,脑肿瘤的疾病诊断,"SP
",S,8,quark.book,,,,,,
