index,h1,h2,h3,h4,h5,h6,title1,title2,type,dimension,备注,from,url,content_category,answer,passage_genetate_title,catalogue,count
0,第二篇  呼吸系统疾病,第七章  肺结核,,,,,肺结核的概述,,,,,book,,,,,,
1,第二篇  呼吸系统疾病,第七章  肺结核,【流行病学】,,,,肺结核的流行病学,,,,,book,,,,,,
2,第二篇  呼吸系统疾病,第七章  肺结核,【结核分枝杆菌】,,,,结核分枝杆菌,,,,,book,,,,,,
3,第二篇  呼吸系统疾病,第七章  肺结核,【结核病在人群中的传播】,,,,结核病在人群中的传播,,,,,book,,,,,,
4,第二篇  呼吸系统疾病,第七章  肺结核,【结核病在人体的发生与发展】,,,,结核病在人体的发生与发展,,,,,book,,,,,,
5,第二篇  呼吸系统疾病,第七章  肺结核,【病理学】,,,,肺结核的病理学,,,,,book,,,,,,
6,第二篇  呼吸系统疾病,第七章  肺结核,【临床表现】,,,,肺结核的临床表现,,,,,book,,,,,,
7,第二篇  呼吸系统疾病,第七章  肺结核,【临床表现】,（一）症状,,,肺结核的临床表现,肺结核的症状,SP,PO,,book,,,,,,
8,第二篇  呼吸系统疾病,第七章  肺结核,【临床表现】,（二）体征,,,肺结核的临床表现,肺结核的体征,SP,PO,,book,,,,,,
9,第二篇  呼吸系统疾病,第七章  肺结核,【肺结核诊断】,（一）诊断方法,,,肺结核的诊断,肺结核的诊断方法,SP,PO,,book,,,,,,
10,第二篇  呼吸系统疾病,第七章  肺结核,【肺结核诊断】,（二）肺结核的诊断程序,,,肺结核的诊断,肺结核的诊断程序,SP,PO,,book,,,,,,
11,第二篇  呼吸系统疾病,第七章  肺结核,【肺结核诊断】,（三）结核病分类标准,,,肺结核的诊断,结核病分类标准,SP,PO,,book,,,,,,
12,第二篇  呼吸系统疾病,第七章  肺结核,【肺结核诊断】,（四）肺结核的记录方式,,,肺结核的诊断,肺结核的记录方式,SP,PO,,book,,,,,,
13,第二篇  呼吸系统疾病,第七章  肺结核,【鉴别诊断】,,,,肺结核的鉴别诊断,,,,,book,,,,,,
14,第二篇  呼吸系统疾病,第七章  肺结核,【结核病的化学治疗】,（一）化学治疗的原则,,,结核病的化学治疗,结核病化学治疗的原则,SP,PO,,book,,,,,,
15,第二篇  呼吸系统疾病,第七章  肺结核,【结核病的化学治疗】,（二）化学治疗的主要作用,,,结核病的化学治疗,结核病化学治疗的主要作用,SP,PO,,book,,,,,,
16,第二篇  呼吸系统疾病,第七章  肺结核,【结核病的化学治疗】,（三）化学治疗的生物学机制,,,结核病的化学治疗,结核病化学治疗的生物学机制,SP,PO,,book,,,,,,
17,第二篇  呼吸系统疾病,第七章  肺结核,【结核病的化学治疗】,（四）常用抗结核病药物,,,结核病的化学治疗,结核病化学治疗常用抗结核病药物,SP,PO,,book,,,,,,
18,第二篇  呼吸系统疾病,第七章  肺结核,【结核病的化学治疗】,（五）标准化学治疗方案,,,结核病的化学治疗,结核病化学治疗的标准化学治疗方案,SP,PO,,book,,,,,,
19,第二篇  呼吸系统疾病,第七章  肺结核,【结核病的化学治疗】,（六）耐多药肺结核,,,结核病的化学治疗,耐多药肺结核的化学治疗,SP,PO,,book,,,,,,
20,第二篇  呼吸系统疾病,第七章  肺结核,【其他治疗】,,,,肺结核其他治疗方案,,,,,book,,,,,,
21,第二篇  呼吸系统疾病,第七章  肺结核,【肺结核与相关疾病】,,,,肺结核与相关疾病,,,,,book,,,,,,
22,第二篇  呼吸系统疾病,第七章  肺结核,【结核病控制策略与措施】,,,,结核病控制策略与措施,,,,,book,,,,,,
23,第二篇  呼吸系统疾病,第八章  肺癌,,,,,肺癌的概述,,,,,book,,,,,,
24,第二篇  呼吸系统疾病,第八章  肺癌,【流行病学】,,,,肺癌的流行病学,,,,,book,,,,,,
25,第二篇  呼吸系统疾病,第八章  肺癌,【病因和发病机制】,,,,肺癌的病因与发病机制,肺癌的病因和发病机制,SP,PO,,book,,,,,,
26,第二篇  呼吸系统疾病,第八章  肺癌,【临床表现】,,,,肺癌的临床表现,,,,,book,,,,,,
27,第二篇  呼吸系统疾病,第八章  肺癌,【临床表现】,（一）原发肿瘤引起的症状和体征,,,肺癌的临床表现,肺原发肿瘤引起的症状和体征,SP,S,,book,,,,,,
28,第二篇  呼吸系统疾病,第八章  肺癌,【临床表现】,（二）肿瘤局部扩展引起的症状和体征,,,肺癌的临床表现,肺肿瘤局部扩展引起的症状和体征,SP,S,,book,,,,,,
29,第二篇  呼吸系统疾病,第八章  肺癌,【临床表现】,（三）肿瘤远处转移引起的症状和体征,,,肺癌的临床表现,肺肿瘤远处转移引起的症状和体征,SP,S,,book,,,,,,
30,第二篇  呼吸系统疾病,第八章  肺癌,【临床表现】,（四）肺癌的胸外表现,,,肺癌的临床表现,肺癌的胸外表现,SP,PO,,book,,,,,,
31,第二篇  呼吸系统疾病,第八章  肺癌,【影像学及其他检查】,（一）影像学检查,,,肺癌的影像学及其他检查,肺癌的影像学检查,SP,PO,,book,,,,,,
32,第二篇  呼吸系统疾病,第八章  肺癌,【影像学及其他检查】,（二）获得病理学诊断的检查,,,肺癌的影像学及其他检查,肺癌的获得病理学诊断检查,SP,PO,,book,,,,,,
33,第二篇  呼吸系统疾病,第八章  肺癌,【影像学及其他检查】,（三）肿瘤标志物检测,,,肺癌的影像学及其他检查,肺癌肿瘤标志物检查,SP,PO,,book,,,,,,
34,第二篇  呼吸系统疾病,第八章  肺癌,【影像学及其他检查】,（四）肺癌的基因诊断及其他,,,肺癌的影像学及其他检查,肺癌的基因诊断及其他检查,SP,PO,,book,,,,,,
